,Unnamed: 0,Target,Tweet,Unnamed: 3,Unnamed: 4,Label
0,1673,Hillary Clinton,RT GunnJessica Because I want young American women to be able to be proud of the st woman president SemST,FAVOR,OTHER,POSITIVE
1,1674,Hillary Clinton,Chris newsbusters years ago Hillary never answered whether she used private email Liberal media passed on reporting SemST,AGAINST,TARGET,NEGATIVE
2,1675,Hillary Clinton,dnewhauser take that Marco Rubio GOP can not pander to the Latino vote while pushing policies that hurt the community most SemST,NONE,OTHER,NEGATIVE
3,1676,Hillary Clinton,StateDept AmbCathyRussell AdamSmithUSA HillaryClinton HillaryforIA BarackObama The whole world is supporting you SemST,FAVOR,TARGET,POSITIVE
4,1677,Hillary Clinton,Lets remember dickcheney is an unindicted war criminal b we start yelling Benghazi day after day Will we ever see justice SemST,NONE,OTHER,NEGATIVE
5,1678,Hillary Clinton,Although I certainly have disagreements after reading about GovernorOMalley I much rather have him than HillaryClinton SemST,AGAINST,TARGET,NEITHER
6,1679,Hillary Clinton,Human rights are womens rights and womens rights are human rights Hillary Clinton SemST,FAVOR,TARGET,POSITIVE
7,1680,Hillary Clinton,Would you wan na be in a long term relationship with some bitch that hides her emails lies to your face Then Dontvote SemST,AGAINST,TARGET,NEGATIVE
8,1681,Hillary Clinton,Bill Clinton just wants to be the first dude to be President and bang one SemST,NONE,OTHER,NEGATIVE
9,1682,Hillary Clinton,HuffPostPol If HillaryClinton can do half of what he did then she would be doing is a favor SemST,FAVOR,TARGET,NEGATIVE
10,1683,Hillary Clinton,Ive made my decision to the shock of no one probably who Im supporting SemST,NONE,NO ONE,NEGATIVE
11,1684,Hillary Clinton,Didnt realize Bob Dole was mentioned in Tupacs How do u want it YesterdaysLeaders SemST,NONE,NO ONE,NEITHER
12,1685,Hillary Clinton,If I run for office this will be my original logo M libertynothillary HillNo tcot UniteBlue SemST,AGAINST,TARGET,NEITHER
13,1686,Hillary Clinton,I will be there when your little tree has run out of smell ThatChampion SemST,NONE,OTHER,NEGATIVE
14,1687,Hillary Clinton,crazy to think next up for the Oval Office is either going to be Hillary or a Republican SemST,AGAINST,TARGET,NEGATIVE
15,1688,Hillary Clinton,NACLA BrasilWire SOS OBAMA Who BarackObama Are you joking StopDilma StopLula StopForodeSaoPaulo SemST,NONE,OTHER,NEGATIVE
16,1689,Hillary Clinton,CheekyGent ChuckCJohnson Hey Hillary is on her to way to buy votes too HillarySoOld SemST,AGAINST,TARGET,NEGATIVE
17,1690,Hillary Clinton,RT NicolaSturgeon Its official Hillarys running for president says her campaign chief Excellent SemST,FAVOR,TARGET,POSITIVE
18,1691,Hillary Clinton,Only in a SEXIST AS FUK world would we question the qualifications of a former SECRETARY OF STATE SemST,FAVOR,TARGET,NEGATIVE
19,1692,Hillary Clinton,ChrisChristie could not run his way out of a paper bag let alone beat HillaryClinton Go home Chris u r drunk ChrisChristie SemST,FAVOR,TARGET,NEGATIVE
20,1693,Hillary Clinton,ReformedBroker to da honies gittin money playing bleep words like dummies POPPA SemST,NONE,OTHER,NEGATIVE
21,1694,Hillary Clinton,Forgive CherylRios of her stupid comments about women being president She will blame it on that time of the month anyways SemST,NONE,OTHER,NEGATIVE
22,1695,Hillary Clinton,Low key it would be interesting to have a female president SemST,FAVOR,TARGET,POSITIVE
23,1696,Hillary Clinton,seanhannity we lost of our Military boys when your President pulled out of Iraq LiberalConsequences SemST,AGAINST,OTHER,NEGATIVE
24,1697,Hillary Clinton,EthanObama I know its just going to be a long year SemST,NONE,NO ONE,NEGATIVE
25,1698,Hillary Clinton,Technically a president with raging hormones could refer to estrogen testosterone or anabolic steroids IBlamePublicSchools SemST,AGAINST,TARGET,NEGATIVE
26,1699,Hillary Clinton,Does Hillary really need to run this country Could we just make her president of the Bingo club at Shady Pines tcot p SemST,AGAINST,TARGET,NEGATIVE
27,1700,Hillary Clinton,Lol why do so many people around here hate Hillary SemST,FAVOR,TARGET,NEGATIVE
28,1701,Hillary Clinton,HillaryClinton is at the top and has spent her whole career growing government keeping the deck stacked LibertyNotHillary SemST,AGAINST,TARGET,NEGATIVE
29,1702,Hillary Clinton,Problem with libertarian is its not even a decreed party A house devided against itself will not stand think this news to SemST,NONE,OTHER,NEGATIVE
30,1703,Hillary Clinton,HillaryClinton i am portuguese and i support your campaign Best luck The world need a person and a women like you USA SemST,FAVOR,TARGET,POSITIVE
31,1704,Hillary Clinton,Hillary Clinton for Ambassador to ISIS SemST,AGAINST,TARGET,NEGATIVE
32,1705,Hillary Clinton,So when all you brave patriots stop Hillary who you going to replace her with Jeb Bush LOL losers SemST,FAVOR,TARGET,NEGATIVE
33,1706,Hillary Clinton,Im a woman Can I be President StopHillaryPAC SemST,AGAINST,TARGET,NEGATIVE
34,1707,Hillary Clinton,This is not her first time at the rodeo HillaryClinton doesnt care who likes her or not This woman is on a mission Tough SemST,FAVOR,TARGET,POSITIVE
35,1708,Hillary Clinton,lajouetreine KarrattiPaul Im not a Genitalian SemST,NONE,NO ONE,NEGATIVE
36,1709,Hillary Clinton,Wondering what the NEXT idiotic GOP smear against HillaryClinton will be Its coming for sure Just do not know details yet SemST,FAVOR,TARGET,NEGATIVE
37,1710,Hillary Clinton,Hillary is killing it so far on the trail Shes finally showing her personal side and I think it will benefit her profoundly SemST,FAVOR,TARGET,POSITIVE
38,1711,Hillary Clinton,Do we call Bill Mr Presidentthe first st man of Or mr president the st man Lol imreadyforhillary SemST,FAVOR,TARGET,POSITIVE
39,1712,Hillary Clinton,gailtalk trscoop Of course it was Shell be handled every step of the way They can not risk her unscripted SemST,AGAINST,TARGET,NEGATIVE
40,1713,Hillary Clinton,I just want my dog to stop eating the trash SemST,NONE,OTHER,NEGATIVE
41,1714,Hillary Clinton,thehill evanperez are you kidding meleave her to focus on issuesthe next prez SemST,FAVOR,TARGET,NEGATIVE
42,1715,Hillary Clinton,Congratulations HillaryClinton on entering the race for President You have the support of Jews all over the world SemST,FAVOR,TARGET,POSITIVE
43,1716,Hillary Clinton,HillaryClinton had more twitter followers then all four major Republican candidates Bush Rubio Paul Cruz COMBINED SemST,FAVOR,TARGET,POSITIVE
44,1717,Hillary Clinton,HillaryClinton has yet to release ClintonFdn donors Public deserves disclosure Scandals lies Clintons SemST,AGAINST,TARGET,NEGATIVE
45,1718,Hillary Clinton,I want to go back in time to when men and women could not appear in the same yearbook as each other old school SemST,NONE,OTHER,NEGATIVE
46,1719,Hillary Clinton,RT halerazorHillaryAccomplishments of select few people fired being unethical investigate Watergate SemST,AGAINST,TARGET,NEGATIVE
47,1720,Hillary Clinton,How can she live with herself Benghazi SemST,AGAINST,TARGET,NEGATIVE
48,1721,Hillary Clinton,Marriage equality a constitutional right Woot HRC hillaryclinton readyforhillary vote hillaryfor mpotus SemST,FAVOR,TARGET,POSITIVE
49,1722,Hillary Clinton,Hillary needs to go to a Sheetz gas station after pm to see the real America SemST,AGAINST,TARGET,NEGATIVE
